profile,page,report,kept_blocks,skipped_blocks,fallback_blocks,ellipsis_outputs,qwen_used,qwen_rejected,qwen_repairs_attempted,qwen_repairs_accepted,suspected_bad_translations
quality,1,quality-runs\latest-quality\quality\1.ocr.json,7,2,0,0,6,0,0,0,0
quality,2,quality-runs\latest-quality\quality\2.ocr.json,7,1,0,0,7,1,3,2,0
quality,3,quality-runs\latest-quality\quality\3.ocr.json,5,1,0,0,5,1,2,1,0
quality,4,quality-runs\latest-quality\quality\4.ocr.json,9,1,0,0,9,2,6,4,0
quality,5,quality-runs\latest-quality\quality\5.ocr.json,4,0,0,0,4,1,1,0,0
quality,6,quality-runs\latest-quality\quality\6.ocr.json,6,2,0,0,6,0,3,3,0
quality,7,quality-runs\latest-quality\quality\7.ocr.json,6,3,0,0,6,0,3,3,0
quality,8,quality-runs\latest-quality\quality\8.ocr.json,9,0,0,0,6,1,2,1,0
quality,__total__,quality-runs\latest-quality\quality,53,10,0,0,49,6,20,14,0
